block,trial,subject_id,direction,coherence,practice,response,rt,pair
-2,0,2,right,0.4,1,right,0.625103950500488,123456
-2,1,2,left,0.4,1,left,1.53577613830566,123456
-2,2,2,left,0.4,1,left,1.47329688072205,123456
-2,3,2,right,0.4,1,right,0.592566967010498,123456
-2,4,2,left,0.4,1,left,1.04163193702698,123456
-2,5,2,right,0.4,1,right,0.696007966995239,123456
-2,6,2,right,0.4,1,right,0.717085123062134,123456
-2,7,2,left,0.4,1,left,0.498573064804077,123456
-2,8,2,right,0.4,1,right,0.68625283241272,123456
-2,9,2,right,0.4,1,right,0.800568103790283,123456
-2,10,2,right,0.4,1,right,1.14172911643982,123456
-2,11,2,right,0.4,1,right,1.11457395553589,123456
-2,12,2,right,0.4,1,right,0.590497016906738,123456
-2,13,2,right,0.4,1,right,0.687143087387085,123456
-2,14,2,right,0.4,1,right,0.663791179656982,123456
-2,15,2,left,0.4,1,left,0.690868139266968,123456
-2,16,2,right,0.4,1,right,0.491795063018799,123456
-2,17,2,left,0.4,1,left,1.1996488571167,123456
-2,18,2,right,0.4,1,right,0.658220052719116,123456
-2,19,2,left,0.4,1,left,1.65007019042969,123456
-2,20,2,left,0.4,1,left,0.722163915634155,123456
-2,21,2,right,0.4,1,right,0.97481894493103,123456
-2,22,2,left,0.4,1,left,0.555952072143555,123456
-2,23,2,left,0.4,1,left,0.637827873229981,123456
-2,24,2,left,0.4,1,left,0.452635049819946,123456
-2,25,2,right,0.4,1,right,0.558763027191162,123456
-2,26,2,left,0.4,1,left,0.525201082229614,123456
-2,27,2,right,0.4,1,right,0.674897909164429,123456
-2,28,2,left,0.4,1,left,0.584994077682495,123456
-2,29,2,right,0.4,1,right,0.707645177841187,123456
-2,30,2,left,0.4,1,left,0.892184972763062,123456
-2,31,2,left,0.4,1,left,0.546721935272217,123456
-2,32,2,left,0.4,1,left,0.804131984710693,123456
-2,33,2,left,0.4,1,left,1.48075389862061,123456
-2,34,2,left,0.4,1,left,0.82764196395874,123456
-2,35,2,right,0.4,1,right,0.827145099639893,123456
-2,36,2,right,0.4,1,right,1.0665431022644,123456
-2,37,2,right,0.4,1,right,0.736704826354981,123456
-2,38,2,left,0.4,1,left,0.502340078353882,123456
-2,39,2,right,0.4,1,right,0.646481990814209,123456
-1,0,2,left,0.2,0,left,0.854789972305298,123456
-1,1,2,right,0.05,0,right,0.621754169464111,123456
-1,2,2,right,0,0,left,1.01470899581909,123456
-1,3,2,right,0.1,0,right,2.20123410224915,123456
-1,4,2,left,0,0,right,1.05421710014343,123456
-1,5,2,left,0.4,0,left,0.489199161529541,123456
