block,trial,subject_id,direction,coherence,practice,response,rt,pair
-2,0,1,left,0.4,1,left,0.587517023086548,123456
-2,1,1,right,0.4,1,right,0.492330074310303,123456
-2,2,1,left,0.4,1,left,0.514835119247437,123456
-2,3,1,right,0.4,1,right,0.461878061294556,123456
-2,4,1,right,0.4,1,right,0.516717910766602,123456
-2,5,1,right,0.4,1,left,0.383512020111084,123456
-2,6,1,left,0.4,1,left,0.584905862808228,123456
-2,7,1,right,0.4,1,right,0.477128028869629,123456
-2,8,1,left,0.4,1,left,0.599465131759644,123456
-2,9,1,left,0.4,1,right,0.393719911575317,123456
-2,10,1,left,0.4,1,left,0.634506940841675,123456
-2,11,1,right,0.4,1,right,0.591737985610962,123456
-2,12,1,right,0.4,1,left,0.428766965866089,123456
-2,13,1,right,0.4,1,right,0.544919967651367,123456
-2,14,1,right,0.4,1,right,0.533658027648926,123456
-2,15,1,right,0.4,1,right,0.423896074295044,123456
-2,16,1,right,0.4,1,right,0.553936004638672,123456
-2,17,1,right,0.4,1,right,0.454097986221314,123456
-2,18,1,right,0.4,1,right,0.438445091247559,123456
-2,19,1,left,0.4,1,left,0.415454864501953,123456
-2,20,1,right,0.4,1,right,0.430896043777466,123456
-2,21,1,right,0.4,1,right,0.381724119186401,123456
-2,22,1,right,0.4,1,left,0.382383823394775,123456
-2,23,1,right,0.4,1,right,0.458359003067017,123456
-2,24,1,right,0.4,1,right,0.454897165298462,123456
-2,25,1,left,0.4,1,right,0.503568887710571,123456
-2,26,1,right,0.4,1,right,0.450232028961182,123456
-2,27,1,right,0.4,1,right,0.548937082290649,123456
-2,28,1,left,0.4,1,left,0.486690044403076,123456
-2,29,1,right,0.4,1,right,0.386399984359741,123456
-2,30,1,left,0.4,1,left,0.47892689704895,123456
-2,31,1,right,0.4,1,right,0.430046081542969,123456
-2,32,1,right,0.4,1,right,0.480417966842651,123456
-2,33,1,left,0.4,1,left,0.55623197555542,123456
-2,34,1,right,0.4,1,right,0.392587184906006,123456
-2,35,1,right,0.4,1,right,0.501666069030762,123456
-2,36,1,left,0.4,1,left,0.398003101348877,123456
-2,37,1,right,0.4,1,right,0.4059739112854,123456
